Nome do negócio;Valor do negócio;Qual feature está indisponível;Motivo fechamento perdido;Data entrada perdido CLOSER;Número de lojas;Observação;Observações de atividades
Poke do Japa;400;;Parou de responder;13/10/2025 09:33;1;;
A Lenha Pizzaria Torres;450;;Esta satisfeito com o sistema atual;13/10/2025 17:19;1;;
Pastel Believer;;;Parou de responder;03/11/2025 11:22;1;;
Pastel;;;Limpeza de Funil;27/10/2025 15:19;;;
Coqueiro Verde;400;"Smart POS Cielo;Auto Atendimento - QR Code;Calculadora de Precificação;Emissão de DANFE / NF;Uso Offline;Transferencia de mercadoria entre lojas;Robô de Whatsapp - pedidos";Feature indisponível;11/09/2025 09:18;2;;
Prefeitura de Campo Grande-MS;;;Limpeza de Funil;27/10/2025 15:19;;;
Stadios burguer;;;Limpeza de Funil;27/10/2025 15:19;;;
Slow Coffee;370;;Budget;26/09/2025 10:04;1;;
Resenha II;450;;Não é prioridade;09/10/2025 10:25;2;;
Pizzaria Don Raffaele;400;;Parou de responder;23/12/2025 16:58;1;;
Nonna Briggi;400;;Budget;08/10/2025 17:08;1;;
Canoas Praia Restaurante;;;Limpeza de Funil;27/10/2025 15:19;;;
Ramos Bar e Restaurante Ltda;;;Limpeza de Funil;27/10/2025 15:19;;;
Pastrella;450;;Parou de responder;27/10/2025 18:01;1;;
costeiro bar;400;"Auto Atendimento - QR Code;Calculadora de Precificação;Relação Comanda x Mesa;Controle de validade - Estoque;Robô de Whatsapp - pedidos;Relatório / Alerta estoque mínimo";Feature indisponível;08/10/2025 17:12;1;;
Galiotto;;;Limpeza de Funil;27/10/2025 15:19;;;
Fátima e Lara lanches delivery;;;Limpeza de Funil;27/10/2025 15:19;;;
Própan Padaria e confeitaria;;;Limpeza de Funil;27/10/2025 15:19;;;
Churrascaria Nativas Grill Brasília;;;Limpeza de Funil;27/10/2025 15:19;;;
Ayô Gastronomia;;;Limpeza de Funil;27/10/2025 15:19;;;
Gerente;;;Limpeza de Funil;27/10/2025 15:19;;;
Chef;;;Limpeza de Funil;27/10/2025 15:19;;;
Todos os Vinhos Ltda;;;Limpeza de Funil;27/10/2025 15:19;;;
Jhoseph Lucas matos paiva;;;Limpeza de Funil;27/10/2025 15:19;;;
Riversides;400;Uso Offline;Feature indisponível;08/10/2025 17:31;3;;
Restaurante Floripa Grill;450;;Parou de responder;08/10/2025 17:07;1;;
Supermercado Zona Sul;;;Limpeza de Funil;27/10/2025 15:19;;;
Carne de sol Parrilla bar e restaurante;;;Limpeza de Funil;27/10/2025 15:19;;;
SeuJão;;;Budget;03/11/2025 11:22;1;;
Restaurante chopp beer;;;Limpeza de Funil;27/10/2025 15:19;;;
Catarina sushi delivery;;;Limpeza de Funil;27/10/2025 15:19;;;
Nossa Casa Restaurante;;;Limpeza de Funil;27/10/2025 15:19;;;
Trabalho na empresa R.p.e;;;Limpeza de Funil;27/10/2025 15:19;;;
Big Lanches;;;Limpeza de Funil;27/10/2025 15:19;;;
Misoya;;;Não é prioridade;01/10/2025 15:16;1;;
Confeitaria Martha;;;Limpeza de Funil;27/10/2025 15:19;;;
Hot Dog do Nata;;;Limpeza de Funil;27/10/2025 15:19;;;
CAD;;;Limpeza de Funil;27/10/2025 15:19;;;
Oaks bar;;;Limpeza de Funil;27/10/2025 15:19;;;
O Leleko;;;Limpeza de Funil;27/10/2025 15:19;;;
La Macelleria;;;Budget;03/10/2025 14:32;2;;
Vila Sabor Restaurante;450;"Balança;Leitor código de barras;Relação Comanda x Mesa";Não é prioridade;13/10/2025 17:14;1;;
Ohana Guede's;;;Fechou com concorrente;02/10/2025 10:32;1;;
Golden;;;Limpeza de Funil;27/10/2025 15:19;;;
Don Burgone/Gamadon;299;;Vetado por decisão interna;23/01/2026 11:17;;;
Barriga sport bar;380;"Smart POS PagBank;SmartPOS Balcão;Auto Atendimento - QR Code;Leitor código de barras;Relação Comanda x Mesa;ticket / ficha";Feature indisponível;08/12/2025 15:00;1;;
Mistura Misturado;;;Budget;03/10/2025 14:31;1;;
Espetonabrasa;;;Limpeza de Funil;27/10/2025 15:19;;;
Bar das Meninas;400;"Smart POS PagBank;Calculadora de Precificação;Emissão de DANFE / NF";Feature indisponível;26/09/2025 11:19;1;;
Travaina Consultoria Empresarial;;;Limpeza de Funil;27/10/2025 15:19;;;
Mineiro Delivery;;;Budget;03/10/2025 14:31;1;;
Buteco do Rei;;;Limpeza de Funil;27/10/2025 15:19;;;
pizzaria billy;;;Limpeza de Funil;27/10/2025 15:19;;;
Adventury eventos;;;Limpeza de Funil;27/10/2025 15:19;;;
Deckbeer;380;;Parou de responder;05/11/2025 17:20;1;;
Café Dona Moça;;;Não é Restaurante;13/10/2025 17:11;1;;
Marmitaria Gourmet Tempero Bom;;;Limpeza de Funil;27/10/2025 15:19;;;
Patrícia Menezes;;;Limpeza de Funil;27/10/2025 15:19;;;
DAS EIS - Sorvetes Gourmet;;;Limpeza de Funil;27/10/2025 15:19;;;
Farinha e Azeite;;;Limpeza de Funil;27/10/2025 15:19;;;
Quintal de Vó;;;Parou de responder;10/11/2025 16:55;1;;
Restaurante Pimenta Dedo de Moça;;;Limpeza de Funil;27/10/2025 15:19;;;
Restaurante Água na Boca;;;Limpeza de Funil;27/10/2025 15:19;;;
Flat vidual do porto Fernando de Noronha;;;Limpeza de Funil;27/10/2025 15:19;;;
Churrasco do Cachamorra;400;;Budget;02/10/2025 11:56;1;;
Granro hamburgueira;;;Limpeza de Funil;27/10/2025 15:19;;;
Julianacakess;;;Limpeza de Funil;27/10/2025 15:19;;;
Geovany Carneiro;;;Esta satisfeito com o sistema atual;03/11/2025 11:25;1;;
Gui lanches;;;Limpeza de Funil;27/10/2025 15:19;;;
Restaurante aconchego;;;Limpeza de Funil;27/10/2025 15:19;;;
Pontal Náutico do Manso;;;Budget;03/11/2025 11:25;1;;
Dos Guris lanches;;;Limpeza de Funil;27/10/2025 15:19;1;;
AM Palmito e Cia;;;Limpeza de Funil;27/10/2025 15:19;;;
Voipper Vila Olimpia;;;Limpeza de Funil;27/10/2025 15:19;;;
Cozinha Garfo de Prata;;;Limpeza de Funil;27/10/2025 15:19;;;
Magalhaes Tavares de Oliveira Consultores;;;Limpeza de Funil;27/10/2025 15:19;;;
Cantina caseira de Minas;;;Limpeza de Funil;27/10/2025 15:19;;;
Espaço Gourmet;;;Limpeza de Funil;27/10/2025 15:19;;;
Delícias da Gi;;;Limpeza de Funil;27/10/2025 15:19;;;
Brasil Natura;;;Limpeza de Funil;27/10/2025 15:19;;;
SANTA PAELLA;;;Limpeza de Funil;27/10/2025 15:19;1;;
Papaléguas refeições;;;Budget;03/11/2025 11:25;1;;
Aceburgers;;;Limpeza de Funil;27/10/2025 15:19;1;;
Minuttos Delivery Premium;400;;Parou de responder;04/12/2025 09:32;1;;
Pizza Hut;;;Limpeza de Funil;27/10/2025 15:19;;;
Pitombeira2017;;;Limpeza de Funil;27/10/2025 15:19;;;
Mdnis alimentos;;;Limpeza de Funil;27/10/2025 15:19;;;
Fumaça Mineira;;;Limpeza de Funil;27/10/2025 15:19;;;
Torresmo do Mineiro;;;Limpeza de Funil;27/10/2025 15:19;;;
Grimpa burguer;;;Limpeza de Funil;27/10/2025 15:19;1;;
Quintal gourmet;;;Limpeza de Funil;27/10/2025 15:19;;;
Baribe;;;Limpeza de Funil;27/10/2025 15:19;;;
R.Casér Ateliê;;;Limpeza de Funil;27/10/2025 15:19;;;
S-3 Marmitaria e Petiscaria;;;Limpeza de Funil;27/10/2025 15:19;;;
Rancho do sabor;;;Limpeza de Funil;27/10/2025 15:19;;;
Pastelaria da maria;;;Limpeza de Funil;27/10/2025 15:19;;;
Pastelaria do Vô Zé;;"Auto Atendimento;Controle de validade - Estoque;Relatório / Alerta estoque mínimo";Feature indisponível;09/10/2025 10:22;2;;
Bella Doceria;;;Limpeza de Funil;27/10/2025 15:19;;;
Ohana drinks house;550;;Esta satisfeito com o sistema atual;27/10/2025 18:12;1;;
Obelisco Choperia e Petiscaria;;;Budget;09/10/2025 14:52;1;;
Robert Pizzaria;420;;Não é prioridade;27/10/2025 18:13;1;;
Aurora Pâtisserie;;;Limpeza de Funil;27/10/2025 15:19;;;
Pub Marias Bonitas;;;Limpeza de Funil;27/10/2025 15:19;;;
Balneário Igarapé Grande;;;Budget;10/11/2025 16:55;1;;
Smolk burger;;;Parou de responder;03/11/2025 11:26;1;;
Bodega do Zé;400;;Budget;20/10/2025 10:34;2;;
Eu157;;;Limpeza de Funil;27/10/2025 15:19;;;
Delícias da Nanda;450;;Parou de responder;05/11/2025 17:24;1;;
Gendai;;;Vetado por decisão interna;16/10/2025 10:25;5;;
Jeremias arte bar;450;"Controle de validade - Estoque;Relatório / Alerta estoque mínimo";Parou de responder;21/01/2026 16:40;1;;
Badá Cheesecakes;;;Limpeza de Funil;27/10/2025 15:19;1;;
Acabana;;;Parou de responder;02/12/2025 10:30;1;;
Magnatas Grill;380;;Budget;02/12/2025 10:32;1;;
DoCão;420;"Smart POS Cielo;Auto Atendimento - QR Code";Fechou com concorrente;04/11/2025 16:00;1;;
Pizzaria Parrô Piabetá;;;Parou de responder;02/12/2025 10:30;1;;
Bar da Cleide;380;;Parou de responder;05/11/2025 17:25;1;;
Rancho gastronômico;;;Esta satisfeito com o sistema atual;23/10/2025 08:57;1;;
Aromen Von Blumenau;500;;Parou de responder;04/12/2025 09:32;1;;
Love In A Box;;;Budget;02/12/2025 10:28;1;;
Tempero de Mainha;450;;Não é prioridade;30/10/2025 10:45;1;;
M restaurnete Ltda (Ezza e Oshi);650;;Fechou com concorrente;27/10/2025 11:18;;;
fogão a lenha;;;Parou de responder;05/11/2025 17:28;1;;
Taberna;;;Não é Restaurante;23/10/2025 15:50;3;;
Bardana Natural;450;Balança;Feature indisponível;04/12/2025 09:33;2;;
Grupo Mono;450;;Parou de responder;08/12/2025 15:09;;;
Emoriô;;;Budget;24/10/2025 11:30;1;;
The Three ;420;;Fechou com concorrente;18/12/2025 17:02;1;;
Acarajazz;400;;Não é prioridade;21/11/2025 11:31;1;;
Castro Burger;400;;Não é prioridade;21/11/2025 11:47;1;;
SG consultoria;400;;Não é prioridade;21/11/2025 11:31;;;
I love Pará;350;;Budget;02/12/2025 10:32;1;;
Camila Boarro Confeitaria;;;Budget;10/11/2025 17:05;1;;
Bendito Prato;400;;Budget;02/12/2025 10:32;1;;
Vila Alternativa;;;Fechou com concorrente;10/11/2025 17:56;1;;
Braseiro;380;;Parou de responder;18/12/2025 16:24;1;;
Cantinho da Coxinha;;;Budget;02/12/2025 10:27;1;;
Adriana Nunes;;;Não é prioridade;02/12/2025 10:27;1;;
eai açai;;;Parou de responder;02/12/2025 10:27;1;;
Boteco do juca;;;Budget;02/12/2025 10:26;1;;
Reg Burger e Beer;;;Parou de responder;16/11/2025 21:30;1;;
HellermannTyton;;;Budget;11/11/2025 10:24;1;;
Açaí expresso;;;Parou de responder;18/12/2025 16:17;1;;
Papo Reto Hamburgueria;400;;Negócio em Duplicidade;02/12/2025 10:31;1;;
CPF Burger;;;Budget;12/11/2025 10:40;1;;
Pátria Burger;;;Não é prioridade;04/12/2025 09:37;1;;
KazuShi Food;;;Budget;13/11/2025 17:03;1;;
Assaí Restaurante e Pizzaria;550;;Não é prioridade;08/12/2025 08:29;1;;
Restaurante Colher de pau;;"Balança;Integração";Feature indisponível;26/11/2025 09:59;1;;
Padaria Don'ana;550;"Balança;Fidelidade;Leitor código de barras;Emissão de DANFE / NF;Pesquisa de Satisfação com Cliente";Feature indisponível;02/12/2025 15:04;1;;
Brasa Grill hamburgueria;400;;Fechou com concorrente;14/01/2026 16:13;1;;
Ubá Bistrô;;;Fechou com concorrente;26/11/2025 09:57;1;;
567 Juazeiro;;;Parou de responder;23/12/2025 09:59;1;;
Taberna;450;;Não é prioridade;03/12/2025 19:32;4;;
Tavolo Ristoranti;400;;Fechou com concorrente;06/01/2026 17:34;1;;
D+ chicken frito;;"SmartPOS Balcão;Cardápio Digital;Auto Atendimento;Totem;Calculadora de Precificação;Integração;Robô de Whatsapp - pedidos;Modulo Estoque Apartado;Modulo Financeiro Apartado;SmartPOS";Feature indisponível;28/11/2025 15:45;1;;
NBA burguer;;;Budget;28/11/2025 16:14;2;;
Coliseu Park;;;Feature indisponível;28/11/2025 16:15;1;;
Luau das montanhas;;;Faturamento abaixo da SLA;28/11/2025 16:47;1;;
armazém belém;;;Parou de responder;23/12/2025 09:59;2;;
Restaurante Empório 26;;;Fechou com concorrente;23/12/2025 10:00;1;;
Bar da Língua;;Relação Comanda x Mesa;Feature indisponível;18/12/2025 16:16;3;;
Carlos Delivery;500;;Fechou com concorrente;18/12/2025 16:18;1;;
Dona Carmela;;"Auto Atendimento - QR Code;Auto Atendimento";Feature indisponível;06/01/2026 17:32;1;;
Restaurante Refugio;500;Balança;Esta satisfeito com o sistema atual;05/12/2025 10:25;1;;
Maria's Doux Restaurante e Doceria;550;"Smart POS Cielo;Auto Atendimento;Auto Atendimento - QR Code;Balança;Relação Comanda x Mesa";Feature indisponível;18/12/2025 16:18;1;;
Mr. Bowls;600;Auto Atendimento - QR Code;Feature indisponível;06/01/2026 17:33;1;;
Zanzibar Espetaria;;Auto Atendimento - QR Code;Feature indisponível;12/12/2025 10:18;1;;
Restaurante Tembi'u Porã;400;;Parou de responder;21/01/2026 17:07;1;;
Salsa Gastronomia;550;;Parou de responder;21/01/2026 17:11;1;;
Zezão Restaurante;480;Balança;Parou de responder;21/01/2026 17:06;1;;
Shizuoka Restaurante Japonês;;"Modulo Estoque Apartado;Modulo Financeiro Apartado";Feature indisponível;23/12/2025 16:49;1;;
Sarimã café;450;;Não é prioridade;27/01/2026 08:56;1;;
Patriota Emporio & Gastronomia;450;;Parou de responder;21/01/2026 17:08;1;;
Restaurante Silvinho;;"Balança;Catraca";Feature indisponível;06/01/2026 17:02;1;;
Restaurante Tabatem;;;Esta satisfeito com o sistema atual;23/01/2026 11:47;1;;
ESFIHARIA DOS VIEIRAS;;;Parou de responder;26/01/2026 14:19;1;;
Marcos lanches;;"Relação Comanda x Mesa;Fidelidade;Leitor código de barras;Auto Atendimento - QR Code;SmartPOS";Feature indisponível;08/01/2026 11:40;1;;
INÁ - Botafogo;450;;Vetado por decisão interna;15/01/2026 17:57;2;;
Pizzaria Veneza;;;Feature indisponível;23/01/2026 11:50;1;;
Masano Trattoria;;;Esta satisfeito com o sistema atual;27/01/2026 08:57;1;;
Grotta Charcutaria;450;;Não é prioridade;23/01/2026 11:53;1;;
Gabriel Barreto;550;Smart POS PagBank;Parou de responder;21/01/2026 17:10;1;;
JL Caldos e Petiscos;;;Budget;14/01/2026 10:03;1;;
Estúdio ETT;;Smart POS PagBank;Feature indisponível;27/01/2026 08:57;1;;
Luma Food;380;;Já é Cliente;21/01/2026 16:39;;;
Nova Opção Barueri Pizzaria e Restaurante;;;Fechou com concorrente;06/02/2026 16:11;1;;
Sabor e Saúde ;380;;Budget;28/01/2026 08:56;3;;
Cafeteria Royal Rio ;400;;Não é prioridade;23/01/2026 11:26;1;;
Bravo Sushi;450;;Não é prioridade;09/02/2026 16:54;2;;
LANCHONETE E RESTAURANTE VICTORIA;380;;Budget;28/01/2026 08:55;;;
Simao & Soratto;380;;Budget;28/01/2026 08:55;;;
Kebab Copa;250;;Não é prioridade;05/02/2026 09:01;;;
Bravo Pizza;450;;Vetado por decisão interna;15/01/2026 17:59;2;;
Espeto do chero;480;;Não é prioridade;04/02/2026 16:06;1;;
Dom Pedro Sorvetes;;;Budget;27/01/2026 08:57;1;;
Dogão do Jorge;;;Integração com outras plataformas;23/01/2026 11:40;1;;
Dhione Smanioto;;;Não é prioridade;23/01/2026 11:39;1;;
Restaurante Tiquatirão;480;"Auto Atendimento;Auto Atendimento - QR Code";Fechou com concorrente;09/02/2026 16:53;1;;
Bokas;;;Integração com outras plataformas;27/01/2026 10:24;5;;
Arte Paulistana;450;;Parou de responder;20/02/2026 16:27;1;;
Papaletutte;480;;Esta satisfeito com o sistema atual;26/01/2026 14:12;1;;
Old town;480;SmartPOS;Esta satisfeito com o sistema atual;26/01/2026 13:57;1;;
El fara;480;"Smart POS PagBank;Integração;Uso Offline";Não é prioridade;04/02/2026 17:32;1;;
Regio Dias;;;Não é prioridade;02/03/2026 11:05;1;;
Tatiane Joaquim;;;Faturamento abaixo da SLA;23/01/2026 11:35;1;;
MM I (Sabor é vida);380;;Vetado por decisão interna;22/01/2026 23:44;4;;
MM II (Sabor é vida);380;;Vetado por decisão interna;22/01/2026 23:44;4;;
MM III (Sabor é vida);380;;Vetado por decisão interna;22/01/2026 23:44;4;;
NAGAHASHI ASIAN FOOD;;;Budget;02/02/2026 18:46;1;;
Pizzaria Barrufi;;;Budget;02/03/2026 11:09;1;;
Lá dá Torta;;;Budget;20/02/2026 16:26;1;;
Juliana Silveira;;;Não tem Restaurante;03/02/2026 17:19;1;;
Pizza do Barra;;Relatório Motoboy Impresso;Budget;20/02/2026 16:27;3;;
Cantinho Doce;480;Integração;Fechou com concorrente;03/03/2026 09:08;1;;
Rancho do roma;450;;Vetado por decisão interna;09/02/2026 08:55;1;;
Sabor Gourmet;;"Smart POS PagBank;Auto Atendimento;Catraca;Integração;SmartPOS";Feature indisponível;03/02/2026 15:17;1;;
Nikolaos Loukopoulos;;;Não quis ouvir;04/02/2026 11:24;3;;
Delícias da Vó Divina Restaurante;;Robô de Whatsapp - pedidos;Feature indisponível;04/02/2026 14:17;1;;
Mr.Balmann;350;;Fechou com concorrente;20/02/2026 16:28;1;;
O Encontro;;;Budget;24/02/2026 14:32;;;
Espetinho;;;Budget;20/02/2026 17:08;;;
DPN;;;Não quis ouvir;02/03/2026 11:29;;;
Podemos 20;;Emissão de DANFE / NF;Feature indisponível;06/02/2026 16:40;1;;
Schmolz - Bickenbach;480;;Não é prioridade;02/03/2026 11:31;1;;
Helda;;"Auto Atendimento;Integração";Feature indisponível;11/02/2026 10:21;;;
Panino’s Cafeteria;;;Negócio em Duplicidade;20/02/2026 17:01;1;;
Casa do saulo;;Emissão de DANFE / NF;Feature indisponível;25/02/2026 11:33;;;
Prospectus NBN;;;Não tem Restaurante;20/02/2026 16:51;;;
Monalisa;;;Negócio em Duplicidade;20/02/2026 16:50;;;
Kami;;;Budget;25/02/2026 11:48;;;
Caravana BBQ;;;Fechou com concorrente;20/02/2026 16:48;;;
Pizzaria jjs;400;;Não é prioridade;25/02/2026 11:22;1;;
Beggiato Restaurante;;;Parou de responder;20/02/2026 16:32;1;;
Casa do Bubi;;Catraca;Feature indisponível;02/03/2026 11:12;1;;
